uid,startTime,TIME,aqara_door_yesterday_late_night_mean_180min,aqara_door_yesterday_early_dawn_mean_180min,aqara_door_yesterday_dawn_mean_180min,aqara_door_yesterday_morning_mean_180min,aqara_door_yesterday_afternoon_mean_180min,aqara_door_yesterday_late_afternoon_mean_180min,aqara_door_yesterday_evening_mean_180min,aqara_door_yesterday_night_mean_180min,aqara_door_yesterday_dawn_mean_360min,aqara_door_yesterday_morning_mean_360min,aqara_door_yesterday_afternoon_mean_360min,aqara_door_yesterday_evening_mean_360min,aqara_door_yesterday_daytime_mean_720min,aqara_door_yesterday_nighttime_mean_720min,aqara_cleaner_yesterday_late_night_mean_180min,aqara_cleaner_yesterday_early_dawn_mean_180min,aqara_cleaner_yesterday_dawn_mean_180min,aqara_cleaner_yesterday_morning_mean_180min,aqara_cleaner_yesterday_afternoon_mean_180min,aqara_cleaner_yesterday_late_afternoon_mean_180min,aqara_cleaner_yesterday_evening_mean_180min,aqara_cleaner_yesterday_night_mean_180min,aqara_cleaner_yesterday_dawn_mean_360min,aqara_cleaner_yesterday_morning_mean_360min,aqara_cleaner_yesterday_afternoon_mean_360min,aqara_cleaner_yesterday_evening_mean_360min,aqara_cleaner_yesterday_daytime_mean_720min,aqara_cleaner_yesterday_nighttime_mean_720min,aqara_chair_yesterday_late_night_mean_180min,aqara_chair_yesterday_early_dawn_mean_180min,aqara_chair_yesterday_dawn_mean_180min,aqara_chair_yesterday_morning_mean_180min,aqara_chair_yesterday_afternoon_mean_180min,aqara_chair_yesterday_late_afternoon_mean_180min,aqara_chair_yesterday_evening_mean_180min,aqara_chair_yesterday_night_mean_180min,aqara_chair_yesterday_dawn_mean_360min,aqara_chair_yesterday_morning_mean_360min,aqara_chair_yesterday_afternoon_mean_360min,aqara_chair_yesterday_evening_mean_360min,aqara_chair_yesterday_daytime_mean_720min,aqara_chair_yesterday_nighttime_mean_720min,aqara_fridge_yesterday_late_night_mean_180min,aqara_fridge_yesterday_early_dawn_mean_180min,aqara_fridge_yesterday_dawn_mean_180min,aqara_fridge_yesterday_morning_mean_180min,aqara_fridge_yesterday_afternoon_mean_180min,aqara_fridge_yesterday_late_afternoon_mean_180min,aqara_fridge_yesterday_evening_mean_180min,aqara_fridge_yesterday_night_mean_180min,aqara_fridge_yesterday_dawn_mean_360min,aqara_fridge_yesterday_morning_mean_360min,aqara_fridge_yesterday_afternoon_mean_360min,aqara_fridge_yesterday_evening_mean_360min,aqara_fridge_yesterday_daytime_mean_720min,aqara_fridge_yesterday_nighttime_mean_720min,aqara_microwave_yesterday_late_night_mean_180min,aqara_microwave_yesterday_early_dawn_mean_180min,aqara_microwave_yesterday_dawn_mean_180min,aqara_microwave_yesterday_morning_mean_180min,aqara_microwave_yesterday_afternoon_mean_180min,aqara_microwave_yesterday_late_afternoon_mean_180min,aqara_microwave_yesterday_evening_mean_180min,aqara_microwave_yesterday_night_mean_180min,aqara_microwave_yesterday_dawn_mean_360min,aqara_microwave_yesterday_morning_mean_360min,aqara_microwave_yesterday_afternoon_mean_360min,aqara_microwave_yesterday_evening_mean_360min,aqara_microwave_yesterday_daytime_mean_720min,aqara_microwave_yesterday_nighttime_mean_720min,aqara_motion_yesterday_late_night_mean_180min,aqara_motion_yesterday_early_dawn_mean_180min,aqara_motion_yesterday_dawn_mean_180min,aqara_motion_yesterday_morning_mean_180min,aqara_motion_yesterday_afternoon_mean_180min,aqara_motion_yesterday_late_afternoon_mean_180min,aqara_motion_yesterday_evening_mean_180min,aqara_motion_yesterday_night_mean_180min,aqara_motion_yesterday_dawn_mean_360min,aqara_motion_yesterday_morning_mean_360min,aqara_motion_yesterday_afternoon_mean_360min,aqara_motion_yesterday_evening_mean_360min,aqara_motion_yesterday_daytime_mean_720min,aqara_motion_yesterday_nighttime_mean_720min,aqara_tv_yesterday_late_night_mean_180min,aqara_tv_yesterday_early_dawn_mean_180min,aqara_tv_yesterday_dawn_mean_180min,aqara_tv_yesterday_morning_mean_180min,aqara_tv_yesterday_afternoon_mean_180min,aqara_tv_yesterday_late_afternoon_mean_180min,aqara_tv_yesterday_evening_mean_180min,aqara_tv_yesterday_night_mean_180min,aqara_tv_yesterday_dawn_mean_360min,aqara_tv_yesterday_morning_mean_360min,aqara_tv_yesterday_afternoon_mean_360min,aqara_tv_yesterday_evening_mean_360min,aqara_tv_yesterday_daytime_mean_720min,aqara_tv_yesterday_nighttime_mean_720min,aqara_washer_yesterday_late_night_mean_180min,aqara_washer_yesterday_early_dawn_mean_180min,aqara_washer_yesterday_dawn_mean_180min,aqara_washer_yesterday_morning_mean_180min,aqara_washer_yesterday_afternoon_mean_180min,aqara_washer_yesterday_late_afternoon_mean_180min,aqara_washer_yesterday_evening_mean_180min,aqara_washer_yesterday_night_mean_180min,aqara_washer_yesterday_dawn_mean_360min,aqara_washer_yesterday_morning_mean_360min,aqara_washer_yesterday_afternoon_mean_360min,aqara_washer_yesterday_evening_mean_360min,aqara_washer_yesterday_daytime_mean_720min,aqara_washer_yesterday_nighttime_mean_720min,aqara_door_yesterday_late_night_std_180min,aqara_door_yesterday_early_dawn_std_180min,aqara_door_yesterday_dawn_std_180min,aqara_door_yesterday_morning_std_180min,aqara_door_yesterday_afternoon_std_180min,aqara_door_yesterday_late_afternoon_std_180min,aqara_door_yesterday_evening_std_180min,aqara_door_yesterday_night_std_180min,aqara_door_yesterday_dawn_std_360min,aqara_door_yesterday_morning_std_360min,aqara_door_yesterday_afternoon_std_360min,aqara_door_yesterday_evening_std_360min,aqara_door_yesterday_daytime_std_720min,aqara_door_yesterday_nighttime_std_720min,aqara_cleaner_yesterday_late_night_std_180min,aqara_cleaner_yesterday_early_dawn_std_180min,aqara_cleaner_yesterday_dawn_std_180min,aqara_cleaner_yesterday_morning_std_180min,aqara_cleaner_yesterday_afternoon_std_180min,aqara_cleaner_yesterday_late_afternoon_std_180min,aqara_cleaner_yesterday_evening_std_180min,aqara_cleaner_yesterday_night_std_180min,aqara_cleaner_yesterday_dawn_std_360min,aqara_cleaner_yesterday_morning_std_360min,aqara_cleaner_yesterday_afternoon_std_360min,aqara_cleaner_yesterday_evening_std_360min,aqara_cleaner_yesterday_daytime_std_720min,aqara_cleaner_yesterday_nighttime_std_720min,aqara_chair_yesterday_late_night_std_180min,aqara_chair_yesterday_early_dawn_std_180min,aqara_chair_yesterday_dawn_std_180min,aqara_chair_yesterday_morning_std_180min,aqara_chair_yesterday_afternoon_std_180min,aqara_chair_yesterday_late_afternoon_std_180min,aqara_chair_yesterday_evening_std_180min,aqara_chair_yesterday_night_std_180min,aqara_chair_yesterday_dawn_std_360min,aqara_chair_yesterday_morning_std_360min,aqara_chair_yesterday_afternoon_std_360min,aqara_chair_yesterday_evening_std_360min,aqara_chair_yesterday_daytime_std_720min,aqara_chair_yesterday_nighttime_std_720min,aqara_fridge_yesterday_late_night_std_180min,aqara_fridge_yesterday_early_dawn_std_180min,aqara_fridge_yesterday_dawn_std_180min,aqara_fridge_yesterday_morning_std_180min,aqara_fridge_yesterday_afternoon_std_180min,aqara_fridge_yesterday_late_afternoon_std_180min,aqara_fridge_yesterday_evening_std_180min,aqara_fridge_yesterday_night_std_180min,aqara_fridge_yesterday_dawn_std_360min,aqara_fridge_yesterday_morning_std_360min,aqara_fridge_yesterday_afternoon_std_360min,aqara_fridge_yesterday_evening_std_360min,aqara_fridge_yesterday_daytime_std_720min,aqara_fridge_yesterday_nighttime_std_720min,aqara_microwave_yesterday_late_night_std_180min,aqara_microwave_yesterday_early_dawn_std_180min,aqara_microwave_yesterday_dawn_std_180min,aqara_microwave_yesterday_morning_std_180min,aqara_microwave_yesterday_afternoon_std_180min,aqara_microwave_yesterday_late_afternoon_std_180min,aqara_microwave_yesterday_evening_std_180min,aqara_microwave_yesterday_night_std_180min,aqara_microwave_yesterday_dawn_std_360min,aqara_microwave_yesterday_morning_std_360min,aqara_microwave_yesterday_afternoon_std_360min,aqara_microwave_yesterday_evening_std_360min,aqara_microwave_yesterday_daytime_std_720min,aqara_microwave_yesterday_nighttime_std_720min,aqara_motion_yesterday_late_night_std_180min,aqara_motion_yesterday_early_dawn_std_180min,aqara_motion_yesterday_dawn_std_180min,aqara_motion_yesterday_morning_std_180min,aqara_motion_yesterday_afternoon_std_180min,aqara_motion_yesterday_late_afternoon_std_180min,aqara_motion_yesterday_evening_std_180min,aqara_motion_yesterday_night_std_180min,aqara_motion_yesterday_dawn_std_360min,aqara_motion_yesterday_morning_std_360min,aqara_motion_yesterday_afternoon_std_360min,aqara_motion_yesterday_evening_std_360min,aqara_motion_yesterday_daytime_std_720min,aqara_motion_yesterday_nighttime_std_720min,aqara_tv_yesterday_late_night_std_180min,aqara_tv_yesterday_early_dawn_std_180min,aqara_tv_yesterday_dawn_std_180min,aqara_tv_yesterday_morning_std_180min,aqara_tv_yesterday_afternoon_std_180min,aqara_tv_yesterday_late_afternoon_std_180min,aqara_tv_yesterday_evening_std_180min,aqara_tv_yesterday_night_std_180min,aqara_tv_yesterday_dawn_std_360min,aqara_tv_yesterday_morning_std_360min,aqara_tv_yesterday_afternoon_std_360min,aqara_tv_yesterday_evening_std_360min,aqara_tv_yesterday_daytime_std_720min,aqara_tv_yesterday_nighttime_std_720min,aqara_washer_yesterday_late_night_std_180min,aqara_washer_yesterday_early_dawn_std_180min,aqara_washer_yesterday_dawn_std_180min,aqara_washer_yesterday_morning_std_180min,aqara_washer_yesterday_afternoon_std_180min,aqara_washer_yesterday_late_afternoon_std_180min,aqara_washer_yesterday_evening_std_180min,aqara_washer_yesterday_night_std_180min,aqara_washer_yesterday_dawn_std_360min,aqara_washer_yesterday_morning_std_360min,aqara_washer_yesterday_afternoon_std_360min,aqara_washer_yesterday_evening_std_360min,aqara_washer_yesterday_daytime_std_720min,aqara_washer_yesterday_nighttime_std_720min
10,1683711843280,2023-05-10 09:44:03.280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1683714476697,2023-05-10 10:27:56.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1683715688412,2023-05-10 10:48:08.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1683715729225,2023-05-10 10:48:49.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1683716883612,2023-05-10 11:08:03.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1683717277867,2023-05-10 11:14:37.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1683717382524,2023-05-10 11:16:22.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1683719820205,2023-05-10 11:57:00.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1683720728912,2023-05-10 12:12:08.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1683721902624,2023-05-10 12:31:42.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1683723181295,2023-05-10 12:53:01.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1683725824066,2023-05-10 13:37:04.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1683726943470,2023-05-10 13:55:43.470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1683727016778,2023-05-10 13:56:56.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1683729546717,2023-05-10 14:39:06.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1683730809646,2023-05-10 15:00:09.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1683731983139,2023-05-10 15:19:43.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1683732056653,2023-05-10 15:20:56.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1683732293021,2023-05-10 15:24:53.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1683734960800,2023-05-10 16:09:20.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1683735850159,2023-05-10 16:24:10.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1683737067360,2023-05-10 16:44:27.360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1683737149349,2023-05-10 16:45:49.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1683740001226,2023-05-10 17:33:21.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1683769752682,2023-05-11 01:49:12.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1683779833812,2023-05-11 04:37:13.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1683784874579,2023-05-11 06:01:14.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1683789364914,2023-05-11 07:16:04.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1683794318267,2023-05-11 08:38:38.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1683794612341,2023-05-11 08:43:32.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1683801787528,2023-05-11 10:43:07.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1683802342575,2023-05-11 10:52:22.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1683803192991,2023-05-11 11:06:32.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1683803250871,2023-05-11 11:07:30.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1683805169820,2023-05-11 11:39:29.820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1683805528709,2023-05-11 11:45:28.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
